Batch Size Train,Dropout Rate,Learning Rate,Momentum,Train Loss,Validation Loss,Epoch,Accuracy
16,0.2,0.001,0.4,0.7056,0.617,3,76.25
16,0.2,0.001,0.4,0.7277,0.5937,4,77.74
16,0.2,0.001,0.4,0.7025,0.5378,5,78.72
16,0.2,0.001,0.5,0.9171,0.627,3,75.27
16,0.2,0.001,0.5,0.4377,0.5941,4,77.12
16,0.2,0.001,0.5,0.3216,0.5405,5,79.08
16,0.2,0.001,0.6,0.5368,0.5718,3,76.99
16,0.2,0.001,0.6,0.8738,0.5442,4,79.88
16,0.2,0.001,0.6,0.3771,0.5179,5,79.77
16,0.2,0.01,0.4,0.2865,0.3946,3,85.3
16,0.2,0.01,0.4,0.7491,0.3801,4,86.13
16,0.2,0.01,0.4,0.2367,0.3537,5,87.09
16,0.2,0.01,0.5,0.556,0.4103,3,84.62
16,0.2,0.01,0.5,0.2949,0.3681,4,86.29
16,0.2,0.01,0.5,0.3912,0.3498,5,86.94
16,0.2,0.01,0.6,0.6793,0.3719,3,86.17
16,0.2,0.01,0.6,0.4769,0.37,4,86.33
16,0.2,0.01,0.6,0.1902,0.3517,5,87.25
16,0.2,0.1,0.4,0.5278,0.483,3,81.85
16,0.2,0.1,0.4,0.3969,0.4947,4,81.69
16,0.2,0.1,0.4,1.2898,0.4711,5,81.49
16,0.2,0.1,0.5,1.3435,0.5713,3,79.29
16,0.2,0.1,0.5,0.4706,0.6375,4,77.56
16,0.2,0.1,0.5,0.4745,0.5756,5,77.1
16,0.2,0.1,0.6,0.4491,0.641,3,76.07
16,0.2,0.1,0.6,0.6208,0.7119,4,71.09
16,0.2,0.1,0.6,0.5818,0.662,5,74.54
16,0.4,0.001,0.4,0.262,0.6229,3,75.84
16,0.4,0.001,0.4,0.8213,0.6241,4,76.0
16,0.4,0.001,0.4,0.3977,0.5799,5,77.38
16,0.4,0.001,0.5,0.3259,0.63,3,76.16
16,0.4,0.001,0.5,0.9778,0.6311,4,74.9
16,0.4,0.001,0.5,0.4231,0.5392,5,79.23
16,0.4,0.001,0.6,0.7182,0.6043,3,75.89
16,0.4,0.001,0.6,1.5077,0.5784,4,77.9
16,0.4,0.001,0.6,0.477,0.5415,5,78.32
16,0.4,0.01,0.4,0.3572,0.4049,3,85.13
16,0.4,0.01,0.4,0.4783,0.3879,4,86.07
16,0.4,0.01,0.4,0.2824,0.3727,5,86.14
16,0.4,0.01,0.5,0.5372,0.3951,3,85.13
16,0.4,0.01,0.5,0.4634,0.3927,4,85.61
16,0.4,0.01,0.5,0.2822,0.366,5,86.15
16,0.4,0.01,0.6,0.1164,0.4043,3,85.02
